zone,1,2,3,4,5,6,7,8,9,10
1,1.0,0.4290533330736397,0.49996953945563144,0.5159936262590502,0.47141275433518154,0.48465398521224473,0.9313314033588654,0.8365893028680607,0.6897257678397083,0.36797426742506834
2,0.4290533330736397,1.0,0.34480157048577986,0.5846566802026866,0.5453668291921457,0.5450455806690361,0.378193129525244,0.341449308924163,0.39035059728934945,0.6590851687473052
3,0.49996953945563144,0.34480157048577986,1.0,0.41321350499894727,0.392484346429758,0.4072929133293604,0.49710004239112426,0.4599956982092157,0.650359646942615,0.39655895143534275
4,0.5159936262590502,0.5846566802026866,0.41321350499894727,1.0,0.8797090085148221,0.8680361837658561,0.46575953113329693,0.43729753670816524,0.5060392995421827,0.6503737480120579
5,0.47141275433518154,0.5453668291921457,0.392484346429758,0.8797090085148221,1.0,0.9242464601901164,0.4486111189569514,0.42805676592282477,0.4628990248350719,0.684065730109001
6,0.48465398521224473,0.5450455806690361,0.4072929133293604,0.8680361837658561,0.9242464601901164,1.0,0.4637915311583181,0.44472133123502505,0.47033848324299715,0.690876845940976
7,0.9313314033588654,0.378193129525244,0.49710004239112426,0.46575953113329693,0.4486111189569514,0.4637915311583181,1.0,0.9095976352974813,0.6804973025887702,0.3427487586116274
8,0.8365893028680607,0.341449308924163,0.4599956982092157,0.43729753670816524,0.42805676592282477,0.44472133123502505,0.9095976352974813,1.0,0.6339016554421671,0.31022525508517534
9,0.6897257678397083,0.39035059728934945,0.650359646942615,0.5060392995421827,0.4628990248350719,0.47033848324299715,0.6804973025887702,0.6339016554421671,1.0,0.35887791933375784
10,0.36797426742506834,0.6590851687473052,0.39655895143534275,0.6503737480120579,0.684065730109001,0.690876845940976,0.3427487586116274,0.31022525508517534,0.35887791933375784,1.0
